disembarked;выгруженный
sleeve;рукав
sly;хитрый
hitherto;до сих пор
winking;моргание
detain;задерживать
tempest;буря
ought;обязанность
ought;долг
berth;причал
bow;поклониться
adversity;невзгоды
exultation;ликование
indignant;возмущенный
screw;винт
screw;болт
screw;шуруп
accomplice;сообщник
caff;дразнить
purser;казначей
venture;рисковать
imprudent;неосторожный
confide;доверять
confide;поверять
confide;полагаться
twinlight;сумрак
mist;туман
gule;шторм
gule;буря
surge;большая волна
chagrin;огорчение
chagrin;досада
chagrin;разочарование
obliged;обязанный
obliged;принужденный
repose;передышка
funnel;воронка
succour;приходить на помощь
errand;поручение
odourless;без запаха
embassy;посольство
enigmatical;загадочный
polished;безупречный
polished;элегантный
resemble;напоминать
resemble;походить на
swarm;рой
swarm;стая
swarm;толпа
lavish;щедрый
lavish;расточительный
avaricious;скупой
taciturn;молчаливый
purse;кошелек
cosy;уютный
aptness;меткость
aptness;способность
tranquil;спокойный
tranquil;уравновешенный
superfluous;излишний
superfluous;чрезмерный
wardrobe;гардероб
wardrobe;шкаф
vain;напрасный
vain;тщетный
impassible;бесстрастный
voyage;рейс
voyage;путешествие
cease;прекращать
deflection;прогиб
palatable;вкусный
palatable;приятный
palatable;аппетитный
booby;олух
booby;болван
scarcely;едва
midst;среди
affair;дело
torture;пытка
rear;задний
fugitive;беглец
ere;прежде чем
wig;парик
bail;залог
devotion;преданность
spouse;супруг
spouse;супруга
confer;совещаться
pity;жалость
domestic;внутренний
decamp;удирать
prophet;пророк
porch;крыльцо
clay;глина
adorn;украшать
polygamist;многоженец
peculiar;специфический
insist;настаивать
gratitude;благодарность
perceive;воспринимать
adversary;противник
colonel;полковник
ought;должен
budge;шевелиться
budge;передумывать
descend;спускаться
prudent;благоразумный
ford;брод
capricious;капризный
pale;бледный
oblige;обязать
alacrity;готовность
groin;пах
haste;поспешность
sledge;сани
freight;груз
pensive;задумчивый
blundering;неумелый
unpropitious;неблагоприятный
famish;голодать
exhibit;проявлять
sabre;сабля
frolic;резвиться
delight;восторг
delight;восхищение
procure;добывать
procure;обеспечивать
exultation;ликование
exultation;торжество
pugilistic;кулачный
blow;удар
treason;измена
treason;предательство
plunder;грабеж
bruise;синяк
tailor;портной
retaliate;мстить
ribbon;лента
herd;стадо
enlarged;увеличенный
amusing;забавный
divert;отвлекать
cravat;галстук
clergyman;священник
affix;прикрепить
irritate;раздражать
contradict;противоречить
visage;облик
tar;смола
feather;перо
ambuscade;засада
disguise;скрыть
disguise;маскировка
preach;проповедь
perish;погибнуть
sombre;мрачный
folly;глупость
anxious;тревожный
maiden;девушка
fright;испуг
moss;мох
shimmer;отблеск
shimmer;мерцание
haze;дымка
haze;туман
noontide;полдень
shade;тень
hazelnut;фундук
hazelnut;лесной орех
cowl;капюшон
stern gaze;суровый взгляд
trip;спотыкаться
grasp;понимание
grasp;схватывание
dignity;достоинство
whisker;бакенбарды
whisker;усы
sedate pace;степенный темп
snail;улитка
courageous;мужественный
orphaned;осиротевший
forsake;отказываться
forsake;оставлять
hang up;подвешивать
hang up;откладывать
courtesy;вежливость
humble;скромный
humble;покорный
torn;порванный
bilge;трюмный
sever;канализация
ferret;хорек
sconce;подсвечник
badger;барсук
friar;монах
waddle;переваливаться
waddle;ходить вразвалку
groom;ухаживать
whirl;вихрь
mole;крот
belfry;колокольня
vigorously;энергично
consternation;ужас
consternation;испуг
consternation;оцепенение
weariness;усталость
relish;удовольствие
relish;наслаждаться
desolation;разорение
desolation;разрушение
vivid;яркий
shudder;дрожь
pipe up;заговорить
pipe up;заиграть
pipe up;запеть
astounding;поразительный
roving;бродячий
torment;мучение
dumbly;безмолвно
dumbly;молчаливо
fret;беспокоиться
fret;раздражаться
splendid;великолепный
humble;скромный
pinafore;передник
weep;плакать
indebted;в долгу
strain;напряжение
shiver;дрожь
meadow;луг
meadow;поляна
larder;кладовая
doze off;задремать
uncanny;жуткий
uncanny;сверхъестественный
lizard;ящерица
ruthless;безжалостный
exhilaration;возбуждение
swollen;набухший
dormitory;общежитие
solicitous;заботливый
prevail;преобладать
toad;жаба
newt;тритон
merriment;веселье
curmudgeon;скряга
curmudgeon;грубиян
avalanche;лавина
dandelion;одуванчик
loot;добыча
foolproof;надежный
propagation;распространение
apron;фартук
trident;трезубец
tummy;животик
aperture;отверстие
vigilant;бдительный
meek;кроткий
meek;смиренный
spry;живой
spry;подвижный
spry;проворный
hasp;засов
scoop;совок
beaker;мерный стакан
snugly;уютно
defy;игнорировать
pail;ведро
tidy;аккуратный
latch;защелка
trolley;тележка
leap;прыжок
boulder;валун
javelin;дротик
ditty;песенка
vermin;паразиты
vermin;вредители
vermin;сброд
dace;плотва
courage;мужество
shallow;мелководный
divert;отвлекать
divert;забавлять
lame;хромой
inlet;вход
vessel;судно
weasel;ласка
beech;бук
crumb;крошка
pike;щука
sore;больной
beetle;жук
tyke;дворняжка
tyke;хам
tyke;грубиян
ford;брод
rabble;сброд
rabble;толпа
perch;окунь
mud;грязь
coherent;когерентный
oppressive;гнетущий
barrage;заграждение
sway;власть
sway;колебаться
sway;качаться
rodent;грызун
wield;владеть
crisp;хрустящий
glint;блеск
devoid;лишенный
hay;сено
vengeance;месть
grasp;хватка
respite;передышка
wrath;гнев
wistfully;задумчиво
sly;хитрый
oaf;болван
stifle;душить
giggle;хихикать
snuggle up;прильнуть
hither and thither;туда-сюда
wily;коварный
oyster;устрица
morsel;кусочек
leveret;зайчонок
nibble on;покусывать
filthy;грязный
snooze;вздремнуть
shrew;землеройка
murmur;ропот
murmur;журчание
murmur;шепот
dissent;несогласие
pandemonium;столпотворение
pandemonium;смятение
meadow;луг
cumbersome;громоздкий
sulk;дуться
sulk;сердиться
hornet;шершень
sting;жало
obsession;одержимость
beaver;бобр
swift;быстро
swift;поспешно
collar;воротник
sparrow;воробей
blueprint;проект
haversack;рюкзак
belfry;колокольня
spill;пролить
spill;разливаться
spill;просыпат
spill;рассыпать
loft;чердак
scowl;хмуриться
demise;кончина
demise;смерть
apprehensive;опасающийся
vixen;самка лисицы
arduous;трудный
arduous;крутой
doubtless;несомненный
savor;наслаждаться
savor;смаковать
slumber;сон
resentment;негодование
venomous;ядовитый
prod;толчок
grumbling;бурчание
lenient;мягкий
lenient;снисходительный
lenient;терпимый
riddle;загадка
wink;подмигивание
wand;палочка
wand;жезл
garrulous;болтливый
surveillance;наблюдение
pour;лить
scorn;презрение
hourglass;песочные часы
oblige;обязать
oblige;принуждать
oblige;угождать
turmoil;суматоха
twilight;сумерки
expenditure;расход
expenditure;трата
expenditure;потребление
pinafore;передник
weep;плакать
culprit;преступник
culprit;обвиняемый
connoisseur;знаток
leverage;способ для достижения цели
diner;человек
diner;обедающий вне дома
diner;вагон-ресторан
diner;небольшой ресторанчик
mallard;дикая утка
fowl;птица
amplifier;усилитель
